Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-12-28 00:00:00-05:00,475.4029149036689,476.0708226061572,474.78484016176515,475.2135009765625,77158100,0.0,0.0,0.0
2023-12-29 00:00:00-05:00,475.01410631167766,475.55244222979536,471.83398460945403,473.8377685546875,122234100,0.0,0.0,0.0
2024-01-02 00:00:00-05:00,470.69753210333175,472.20286475459176,469.0326913863774,471.1860046386719,123623700,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,468.97288663505896,469.7305423526051,466.7199074283902,467.3379821777344,103585900,0.0,0.0,0.0
2024-01-04 00:00:00-05:00,466.84947129229306,469.5012358356659,465.60334305328627,465.8326416015625,84232200,0.0,0.0,0.0
2024-01-05 00:00:00-05:00,466.0419813728373,468.9828561781987,464.9852670628481,466.4706726074219,86060800,0.0,0.0,0.0
2024-01-08 00:00:00-05:00,466.9790720109255,473.27950366882885,466.84946980679274,473.1299743652344,74879100,0.0,0.0,0.0
2024-01-09 00:00:00-05:00,470.4084170004088,473.45893647072546,469.8900386095169,472.4122009277344,65931400,0.0,0.0,0.0
2024-01-10 00:00:00-05:00,472.6913327061571,475.97115072476413,472.40222243844886,475.0838928222656,67310600,0.0,0.0,0.0
2024-01-11 00:00:00-05:00,476.1106916797657,476.63904882153037,470.7972144021347,474.8745422363281,77940700,0.0,0.0,0.0
2024-01-12 00:00:00-05:00,476.35993238959253,477.11758809724193,473.75803121945904,475.2035217285156,57944000,0.0,0.0,0.0
2024-01-16 00:00:00-05:00,473.7879182200383,475.13371233140197,471.5947204289133,473.45892333984375,85014900,0.0,0.0,0.0
2024-01-17 00:00:00-05:00,470.3585725004575,471.3255691992222,468.4146003419657,470.8271179199219,68843900,0.0,0.0,0.0
2024-01-18 00:00:00-05:00,472.5418002011904,475.58234089144656,470.9567287547211,475.01409912109375,91856200,0.0,0.0,0.0
2024-01-19 00:00:00-05:00,476.1705063960121,481.22480972659673,475.0639591465627,480.9356994628906,110733300,0.0,0.0,0.0
2024-01-22 00:00:00-05:00,482.5108387075384,483.7170823389489,481.2846375533101,481.95257568359375,75844900,0.0,0.0,0.0
2024-01-23 00:00:00-05:00,482.51084193451334,483.60741046691857,481.39431587915686,483.3581848144531,49945300,0.0,0.0,0.0
2024-01-24 00:00:00-05:00,486.2990534099458,487.2560713846134,483.3781361022612,483.8865661621094,81765000,0.0,0.0,0.0
2024-01-25 00:00:00-05:00,486.0697532456493,486.7975030913426,483.8865645546748,486.51837158203125,72525000,0.0,0.0,0.0
2024-01-26 00:00:00-05:00,486.07973423842105,487.604993996848,485.03299867946146,485.9002990722656,76641600,0.0,0.0,0.0
2024-01-29 00:00:00-05:00,486.2193082901251,489.8978812592585,485.6610452768794,489.7483215332031,61322800,0.0,0.0,0.0
2024-01-30 00:00:00-05:00,489.0405424549511,490.097256788846,488.59192411074616,489.3695373535156,58618400,0.0,0.0,0.0
2024-01-31 00:00:00-05:00,487.10654963912725,487.5651163224101,481.36438085590265,481.38433837890625,126011100,0.0,0.0,0.0
2024-02-01 00:00:00-05:00,483.12890133412475,487.7146592783923,482.3014551573208,487.68475341796875,91891600,0.0,0.0,0.0
2024-02-02 00:00:00-05:00,488.13333241986845,494.51350271926435,487.7844104392578,492.81878662109375,99147700,0.0,0.0,0.0
2024-02-05 00:00:00-05:00,492.1708153314258,492.8487017834891,488.7115621660069,491.02435302734375,75757100,0.0,0.0,0.0
2024-02-06 00:00:00-05:00,491.991354076984,492.78889440089057,490.52590605629905,492.449951171875,55918600,0.0,0.0,0.0
2024-02-07 00:00:00-05:00,494.7527986736227,496.98585075683485,493.825656136349,496.55718994140625,70556500,0.0,0.0,0.0
2024-02-08 00:00:00-05:00,496.5571694784599,497.1652654348616,495.7197749817641,496.7764892578125,52343600,0.0,0.0,0.0
2024-02-09 00:00:00-05:00,497.2948771096548,500.09617091295434,496.94595512362076,499.6475830078125,63979400,0.0,0.0,0.0
2024-02-12 00:00:00-05:00,499.6176670932048,501.9404366612242,498.69052459513154,499.4282531738281,56502300,0.0,0.0,0.0
2024-02-13 00:00:00-05:00,492.9982399197589,495.5503081334182,489.2000434602483,492.54962158203125,113099200,0.0,0.0,0.0
2024-02-14 00:00:00-05:00,495.2512409439303,497.52417760806475,492.86862917607345,497.0257263183594,68387800,0.0,0.0,0.0
2024-02-15 00:00:00-05:00,497.7435018677007,500.6444920506353,497.25499891172166,500.455078125,61683000,0.0,0.0,0.0
2024-02-16 00:00:00-05:00,500.14604872701983,501.3124077370956,497.20517387522835,497.96282958984375,75461200,0.0,0.0,0.0
2024-02-20 00:00:00-05:00,496.1783619691402,496.8662271951548,492.9185014281102,495.2213439941406,71736700,0.0,0.0,0.0
2024-02-21 00:00:00-05:00,493.88548816646784,495.8294299381131,492.03123355294906,495.669921875,59603800,0.0,0.0,0.0
2024-02-22 00:00:00-05:00,502.44888972582777,506.9149939080911,501.461935463043,505.9280700683594,76402500,0.0,0.0,0.0
2024-02-23 00:00:00-05:00,507.6925621551322,508.54991418748676,505.52930060967225,506.2769775390625,61321800,0.0,0.0,0.0
2024-02-26 00:00:00-05:00,506.7255720308046,507.1741903634921,504.2931272883866,504.4227294921875,50386700,0.0,0.0,0.0
2024-02-27 00:00:00-05:00,505.130564634136,505.58913131626105,503.1865923754997,505.3598327636719,48854500,0.0,0.0,0.0
2024-02-28 00:00:00-05:00,503.76478250005385,505.2900422763557,503.39593340206073,504.6919250488281,56506600,0.0,0.0,0.0
2024-02-29 00:00:00-05:00,506.4963077652608,508.1611180587868,503.78473149517407,506.5062561035156,83924800,0.0,0.0,0.0
2024-03-01 00:00:00-05:00,507.4034968340581,511.7001141876807,506.98478435547435,511.261474609375,76805900,0.0,0.0,0.0
2024-03-04 00:00:00-05:00,510.44407347097683,512.6073351014394,510.4141371864949,510.71319580078125,49799300,0.0,0.0,0.0
2024-03-05 00:00:00-05:00,508.65955874396843,509.1181558318141,503.34608141986735,505.6090393066406,72855600,0.0,0.0,0.0
2024-03-06 00:00:00-05:00,508.9685914242323,510.4839027909057,506.8452145201814,508.17108154296875,68382400,0.0,0.0,0.0
2024-03-07 00:00:00-05:00,511.5505828651388,514.2920648441713,508.23088037725637,513.2153930664062,58652100,0.0,0.0,0.0
2024-03-08 00:00:00-05:00,513.8634155103261,516.6148154653498,509.5468103883809,510.1349792480469,86425500,0.0,0.0,0.0
2024-03-11 00:00:00-04:00,508.8988402025452,510.29449773051573,506.9249621410247,509.69635009765625,62557200,0.0,0.0,0.0
2024-03-12 00:00:00-04:00,511.8596188103099,515.7774384716747,509.2776144721463,515.1793212890625,73114400,0.0,0.0,0.0
2024-03-13 00:00:00-04:00,515.5083097850209,515.6877449587637,512.8964297348066,514.371826171875,55104100,0.0,0.0,0.0
2024-03-14 00:00:00-04:00,515.3686822450944,515.5282207269671,510.2346706184857,513.35498046875,110171800,0.0,0.0,0.0
2024-03-15 00:00:00-04:00,510.2099914550781,511.70001220703125,508.1199951171875,509.8299865722656,107585800,1.595,0.0,0.0
2024-03-18 00:00:00-04:00,514.0,515.47998046875,512.4400024414062,512.8599853515625,88893300,0.0,0.0,0.0
2024-03-19 00:00:00-04:00,512.1500244140625,516.0,511.1199951171875,515.7100219726562,60755300,0.0,0.0,0.0
2024-03-20 00:00:00-04:00,515.77001953125,520.6199951171875,515.0800170898438,520.47998046875,69594600,0.0,0.0,0.0
2024-03-21 00:00:00-04:00,523.3900146484375,524.1099853515625,521.9099731445312,522.2000122070312,60256100,0.0,0.0,0.0
2024-03-22 00:00:00-04:00,522.1099853515625,522.6099853515625,520.969970703125,521.2100219726562,79023000,0.0,0.0,0.0
2024-03-25 00:00:00-04:00,519.7999877929688,520.9500122070312,519.6099853515625,519.77001953125,48512100,0.0,0.0,0.0
2024-03-26 00:00:00-04:00,521.22998046875,521.5800170898438,518.4000244140625,518.8099975585938,65463700,0.0,0.0,0.0
2024-03-27 00:00:00-04:00,521.7100219726562,523.2100219726562,519.489990234375,523.1699829101562,82999800,0.0,0.0,0.0
2024-03-28 00:00:00-04:00,523.2100219726562,524.6099853515625,522.780029296875,523.0700073242188,96294900,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,523.8300170898438,524.3800048828125,520.969970703125,522.1599731445312,62477500,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,518.239990234375,518.97998046875,516.47998046875,518.8400268554688,74230300,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,517.719970703125,520.9500122070312,517.6699829101562,519.4099731445312,59155800,0.0,0.0,0.0
2024-04-04 00:00:00-04:00,523.52001953125,523.8699951171875,512.760009765625,513.0700073242188,96858100,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,514.4600219726562,520.4400024414062,514.010009765625,518.4299926757812,74482100,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,519.1500244140625,520.1799926757812,517.8900146484375,518.719970703125,48401800,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,520.5,520.75,514.3499755859375,519.3200073242188,68124400,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,513.47998046875,516.1599731445312,512.0900268554688,514.1199951171875,82652800,0.0,0.0,0.0
2024-04-11 00:00:00-04:00,515.6799926757812,519.47998046875,512.0800170898438,518.0,70099000,0.0,0.0,0.0
